comment,label_asli,prediksi_model
parfumnya sesuai deskripsi dan enak dipakai,positive,positive
parfumnya sesuai deskripsi dan enak dipakai waktu dipakai,positive,positive
wangi parfum ini bikin nyaman seharian menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
wangi parfum ini bikin nyaman seharian,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik waktu dipakai,positive,positive
aromanya lembut dan elegan cocok buat sehari hari sejauh ini,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
parfum ini kualitasnya bagus dan awet,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
suka banget sama aroma parfumnya nggak nyengat untuk harga segini,positive,positive
aromanya bikin mood jadi lebih baik,positive,positive
wangi parfum ini bikin nyaman seharian waktu dipakai,positive,positive
wangi parfum ini bikin nyaman seharian sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
wanginya manis tapi nggak berlebihan pas banget waktu dipakai,positive,positive
parfum ini wanginya enak banget tahan lama menurut saya,positive,positive
parfum ini kualitasnya bagus dan awet menurut saya,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
wangi parfumnya mewah bikin percaya diri waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik menurut saya,positive,positive
parfumnya fresh dan calming rekomendasi banget sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
aromanya bikin mood jadi lebih baik untuk harga segini,positive,positive
wangi parfumnya mewah bikin percaya diri menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
wanginya manis tapi nggak berlebihan pas banget sejauh ini,positive,positive
aromanya bikin mood jadi lebih baik sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri menurut saya,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
wanginya manis tapi nggak berlebihan pas banget waktu dipakai,positive,positive
parfum ini wanginya enak banget tahan lama menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
wangi parfum ini bikin nyaman seharian,positive,positive
parfumnya fresh dan calming rekomendasi banget untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
wangi parfum ini bikin nyaman seharian untuk harga segini,positive,positive
wangi parfumnya mewah bikin percaya diri menurut saya,positive,positive
aromanya lembut dan elegan cocok buat sehari hari sejauh ini,positive,positive
wangi parfum ini bikin nyaman seharian waktu dipakai,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget,positive,positive
parfumnya fresh dan calming rekomendasi banget sejauh ini,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai untuk harga segini,positive,positive
wanginya manis tapi nggak berlebihan pas banget sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama waktu dipakai,positive,positive
parfumnya sesuai deskripsi dan enak dipakai,positive,positive
wangi parfum ini bikin nyaman seharian menurut saya,positive,positive
wangi parfum ini bikin nyaman seharian sejauh ini,positive,positive
aromanya bikin mood jadi lebih baik,positive,positive
suka banget sama aroma parfumnya nggak nyengat waktu dipakai,positive,positive
suka banget sama aroma parfumnya nggak nyengat,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
aromanya lembut dan elegan cocok buat sehari hari,positive,positive
wangi parfum ini bikin nyaman seharian untuk harga segini,positive,positive
aromanya lembut dan elegan cocok buat sehari hari,positive,positive
aromanya bikin mood jadi lebih baik untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet menurut saya,positive,positive
suka banget sama aroma parfumnya nggak nyengat untuk harga segini,positive,positive
aromanya bikin mood jadi lebih baik waktu dipakai,positive,positive
wangi parfumnya mewah bikin percaya diri sejauh ini,positive,positive
parfum ini wanginya enak banget tahan lama waktu dipakai,positive,positive
parfumnya fresh dan calming rekomendasi banget menurut saya,positive,positive
parfum ini wanginya enak banget tahan lama sejauh ini,positive,positive
parfum ini kualitasnya bagus dan awet untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet untuk harga segini,positive,positive
parfumnya sesuai deskripsi dan enak dipakai untuk harga segini,positive,positive
parfum ini kualitasnya bagus dan awet menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik,positive,positive
suka banget sama aroma parfumnya nggak nyengat,positive,positive
parfum ini kualitasnya bagus dan awet waktu dipakai,positive,positive
parfum ini kualitasnya bagus dan awet sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri,positive,positive
parfum ini kualitasnya bagus dan awet waktu dipakai,positive,positive
aromanya bikin mood jadi lebih baik menurut saya,positive,positive
wangi parfumnya mewah bikin percaya diri sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
wangi parfum ini bikin nyaman seharian waktu dipakai,positive,positive
wangi parfum ini bikin nyaman seharian,positive,positive
wangi parfumnya mewah bikin percaya diri sejauh ini,positive,positive
wangi parfumnya mewah bikin percaya diri untuk harga segini,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
wanginya manis tapi nggak berlebihan pas banget sejauh ini,positive,positive
aromanya lembut dan elegan cocok buat sehari hari,positive,positive
suka banget sama aroma parfumnya nggak nyengat menurut saya,positive,positive
parfum ini wanginya enak banget tahan lama menurut saya,positive,positive
parfumnya sesuai deskripsi dan enak dipakai menurut saya,positive,positive
parfum ini kualitasnya bagus dan awet,positive,positive
aromanya lembut dan elegan cocok buat sehari hari,positive,positive
aromanya lembut dan elegan cocok buat sehari hari waktu dipakai,positive,positive
wanginya manis tapi nggak berlebihan pas banget menurut saya,positive,positive
wangi parfumnya mewah bikin percaya diri,positive,positive
aromanya hambar hampir tidak tercium waktu dipakai,negative,negative
aromanya hambar hampir tidak tercium,negative,negative
parfumnya bikin alergi nggak cocok waktu dipakai,negative,negative
wanginya tidak awet sama sekali untuk harga segini,negative,negative
parfumnya terlalu menyengat bikin pusing sejauh ini,negative,negative
parfumnya bikin alergi nggak cocok untuk harga segini,negative,negative
wanginya terlalu kuat dan bikin tidak nyaman sejauh ini,negative,negative
aromanya hambar hampir tidak tercium untuk harga segini,negative,negative
wanginya terlalu kuat dan bikin tidak nyaman sejauh ini,negative,negative
wanginya tidak awet sama sekali menurut saya,negative,negative
parfumnya terlalu menyengat bikin pusing sejauh ini,negative,negative
wanginya terlalu kuat dan bikin tidak nyaman waktu dipakai,negative,negative
parfumnya terlalu menyengat bikin pusing,negative,negative
wanginya terlalu kuat dan bikin tidak nyaman menurut saya,negative,negative
aromanya hambar hampir tidak tercium menurut saya,negative,negative
parfumnya tidak sesuai deskripsi waktu dipakai,negative,negative
parfum ini jauh dari ekspektasi kecewa sejauh ini,negative,negative
aromanya mirip parfum murah gak worth it menurut saya,negative,negative
parfum ini jauh dari ekspektasi kecewa sejauh ini,negative,negative
parfumnya terlalu menyengat bikin pusing untuk harga segini,negative,negative
parfumnya terlalu menyengat bikin pusing untuk harga segini,negative,negative
parfumnya tidak sesuai deskripsi waktu dipakai,negative,negative
aromanya hambar hampir tidak tercium,negative,negative
parfumnya terlalu menyengat bikin pusing menurut saya,negative,negative
aromanya nggak tahan lama cepat hilang,negative,negative
wanginya tidak awet sama sekali,negative,negative
aromanya hambar hampir tidak tercium,negative,negative
aromanya mirip parfum murah gak worth it waktu dipakai,negative,negative
parfumnya terlalu menyengat bikin pusing,negative,negative
wanginya tidak awet sama sekali,negative,negative
parfumnya bikin alergi nggak cocok waktu dipakai,negative,negative
aromanya hambar hampir tidak tercium waktu dipakai,negative,negative
wanginya aneh dan nggak enak dipakai menurut saya,negative,negative
parfumnya tidak sesuai deskripsi,negative,negative
parfumnya tidak sesuai deskripsi untuk harga segini,negative,negative
parfumnya tidak sesuai deskripsi,negative,negative
wanginya aneh dan nggak enak dipakai,negative,negative
parfumnya bikin alergi nggak cocok,negative,negative
wanginya tidak awet sama sekali menurut saya,negative,negative
parfumnya bikin alergi nggak cocok,negative,negative
aromanya mirip parfum murah gak worth it untuk harga segini,negative,negative
aromanya mirip parfum murah gak worth it,negative,negative
parfum ini jauh dari ekspektasi kecewa menurut saya,negative,negative
parfumnya bikin alergi nggak cocok waktu dipakai,negative,negative
parfumnya tidak sesuai deskripsi menurut saya,negative,negative
aromanya mirip parfum murah gak worth it sejauh ini,negative,negative
parfumnya tidak sesuai deskripsi waktu dipakai,negative,negative
wanginya tidak awet sama sekali menurut saya,negative,negative
wanginya tidak awet sama sekali untuk harga segini,negative,negative
aromanya hambar hampir tidak tercium menurut saya,negative,negative
parfumnya terlalu menyengat bikin pusing,negative,negative
wanginya tidak awet sama sekali,negative,negative
wanginya tidak awet sama sekali waktu dipakai,negative,negative
parfumnya bikin alergi nggak cocok sejauh ini,negative,negative
aromanya nggak tahan lama cepat hilang,negative,negative
parfumnya terlalu menyengat bikin pusing,negative,negative
parfumnya bikin alergi nggak cocok sejauh ini,negative,negative
parfum ini jauh dari ekspektasi kecewa sejauh ini,negative,negative
wanginya aneh dan nggak enak dipakai waktu dipakai,negative,negative
aromanya nggak tahan lama cepat hilang untuk harga segini,negative,negative
aromanya mirip parfum murah gak worth it waktu dipakai,negative,negative
wanginya tidak awet sama sekali waktu dipakai,negative,negative
parfumnya bikin alergi nggak cocok waktu dipakai,negative,negative
aromanya mirip parfum murah gak worth it menurut saya,negative,negative
parfum ini jauh dari ekspektasi kecewa untuk harga segini,negative,negative
parfum ini jauh dari ekspektasi kecewa waktu dipakai,negative,negative
wanginya aneh dan nggak enak dipakai sejauh ini,negative,negative
wanginya terlalu kuat dan bikin tidak nyaman waktu dipakai,negative,negative
aromanya nggak tahan lama cepat hilang menurut saya,negative,negative
aromanya mirip parfum murah gak worth it sejauh ini,negative,negative
aromanya hambar hampir tidak tercium,negative,negative
wanginya aneh dan nggak enak dipakai untuk harga segini,negative,negative
parfum ini jauh dari ekspektasi kecewa menurut saya,negative,negative
wanginya tidak awet sama sekali sejauh ini,negative,negative
wanginya aneh dan nggak enak dipakai menurut saya,negative,negative
aromanya mirip parfum murah gak worth it,negative,negative
parfum ini jauh dari ekspektasi kecewa menurut saya,negative,negative
parfumnya terlalu menyengat bikin pusing,negative,negative
wanginya aneh dan nggak enak dipakai untuk harga segini,negative,negative
aromanya hambar hampir tidak tercium,negative,negative
parfum ini jauh dari ekspektasi kecewa,negative,negative
wanginya aneh dan nggak enak dipakai sejauh ini,negative,negative
aromanya nggak tahan lama cepat hilang menurut saya,negative,negative
aromanya hambar hampir tidak tercium sejauh ini,negative,negative
parfum ini jauh dari ekspektasi kecewa menurut saya,negative,negative
aromanya mirip parfum murah gak worth it,negative,negative
aromanya hambar hampir tidak tercium waktu dipakai,negative,negative
parfumnya bikin alergi nggak cocok sejauh ini,negative,negative
parfum ini jauh dari ekspektasi kecewa menurut saya,negative,negative
wanginya aneh dan nggak enak dipakai sejauh ini,negative,negative
aromanya mirip parfum murah gak worth it menurut saya,negative,negative
aromanya mirip parfum murah gak worth it untuk harga segini,negative,negative
aromanya nggak tahan lama cepat hilang untuk harga segini,negative,negative
parfumnya terlalu menyengat bikin pusing menurut saya,negative,negative
parfum ini jauh dari ekspektasi kecewa,negative,negative
parfumnya terlalu menyengat bikin pusing,negative,negative
aromanya nggak tahan lama cepat hilang waktu dipakai,negative,negative
aromanya nggak tahan lama cepat hilang waktu dipakai,negative,negative
aromanya hambar hampir tidak tercium,negative,negative
parfumnya bikin alergi nggak cocok,negative,negative
tidak buruk tapi tidak terlalu bagus juga waktu dipakai,neutral,neutral
parfum ini oke untuk pemakaian singkat,neutral,neutral
wanginya netral dan tidak terlalu mencolok untuk harga segini,neutral,neutral
aromanya lumayan standar untuk harga segini,neutral,neutral
aromanya lumayan standar untuk harga segini,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga menurut saya,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga menurut saya,neutral,neutral
aromanya lumayan standar,neutral,neutral
wanginya netral dan tidak terlalu mencolok,neutral,neutral
parfum ini oke untuk pemakaian singkat untuk harga segini,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga menurut saya,neutral,neutral
wanginya netral dan tidak terlalu mencolok menurut saya,neutral,neutral
wanginya netral dan tidak terlalu mencolok menurut saya,neutral,neutral
wanginya netral dan tidak terlalu mencolok,neutral,neutral
aromanya lumayan standar menurut saya,neutral,neutral
parfumnya biasa saja tidak terlalu istimewa sejauh ini,neutral,neutral
aromanya lumayan standar sejauh ini,neutral,neutral
parfumnya biasa saja tidak terlalu istimewa,neutral,neutral
aromanya lumayan standar,neutral,neutral
wanginya netral dan tidak terlalu mencolok,neutral,neutral
parfum ini oke untuk pemakaian singkat menurut saya,neutral,neutral
aromanya lumayan standar sejauh ini,neutral,neutral
wanginya netral dan tidak terlalu mencolok untuk harga segini,neutral,neutral
wanginya netral dan tidak terlalu mencolok,neutral,neutral
aromanya lumayan standar waktu dipakai,neutral,neutral
parfum ini oke untuk pemakaian singkat untuk harga segini,neutral,neutral
parfumnya biasa saja tidak terlalu istimewa waktu dipakai,neutral,neutral
parfum ini oke untuk pemakaian singkat untuk harga segini,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga,neutral,neutral
parfumnya biasa saja tidak terlalu istimewa sejauh ini,neutral,neutral
wanginya netral dan tidak terlalu mencolok menurut saya,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga untuk harga segini,neutral,neutral
parfum ini oke untuk pemakaian singkat untuk harga segini,neutral,neutral
wanginya netral dan tidak terlalu mencolok menurut saya,neutral,neutral
aromanya lumayan standar,neutral,neutral
aromanya lumayan standar sejauh ini,neutral,neutral
wanginya netral dan tidak terlalu mencolok,neutral,neutral
wanginya netral dan tidak terlalu mencolok sejauh ini,neutral,neutral
parfumnya biasa saja tidak terlalu istimewa untuk harga segini,neutral,neutral
wanginya netral dan tidak terlalu mencolok sejauh ini,neutral,neutral
aromanya lumayan standar waktu dipakai,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga sejauh ini,neutral,neutral
wanginya netral dan tidak terlalu mencolok menurut saya,neutral,neutral
parfum ini oke untuk pemakaian singkat,neutral,neutral
wanginya netral dan tidak terlalu mencolok untuk harga segini,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga sejauh ini,neutral,neutral
tidak buruk tapi tidak terlalu bagus juga sejauh ini,neutral,neutral
aromanya lumayan standar sejauh ini,neutral,neutral
parfum ini oke untuk pemakaian singkat,neutral,neutral
parfum ini oke untuk pemakaian singkat sejauh ini,neutral,neutral
